run,seed,test_mse,test_mae,seconds,parameters
第1次,42,0.004233324378728867,0.013880947232246399,29.820404499994766,1236289
第2次,43,0.003998282849788665,0.013279813528060912,29.847653299999365,1236289
第3次,44,0.003668517172336578,0.012946818470954895,29.803683700003603,1236289
平均值,,0.003966708133618037,0.013369193077087402,29.82391383333258,1236289.0
